date,region,cases,import_status
2020-05-30,COLIMA,5.0,local
2020-05-31,COLIMA,10.0,local
2020-06-01,COLIMA,3.0,local
2020-06-02,COLIMA,4.0,local
2020-06-03,COLIMA,12.0,local
2020-06-04,COLIMA,10.0,local
2020-06-05,COLIMA,16.0,local
2020-06-06,COLIMA,9.0,local
2020-06-07,COLIMA,9.0,local
2020-06-08,COLIMA,3.0,local
2020-06-09,COLIMA,7.0,local
2020-06-10,COLIMA,16.0,local
2020-06-11,COLIMA,12.0,local
2020-06-12,COLIMA,12.0,local
2020-06-13,COLIMA,12.0,local
2020-06-14,COLIMA,15.0,local
2020-06-15,COLIMA,7.0,local
2020-06-16,COLIMA,9.0,local
2020-06-17,COLIMA,17.0,local
2020-06-18,COLIMA,15.0,local
2020-06-19,COLIMA,14.0,local
2020-06-20,COLIMA,10.0,local
2020-06-21,COLIMA,22.0,local
2020-06-22,COLIMA,15.0,local
2020-06-23,COLIMA,28.0,local
2020-06-24,COLIMA,11.0,local
2020-06-25,COLIMA,20.0,local
2020-06-26,COLIMA,25.0,local
2020-04-01,CHIAPAS,-470.0,local
2020-04-02,CHIAPAS,1.0,local
2020-04-03,CHIAPAS,2.0,local
2020-04-04,CHIAPAS,2.0,local
2020-04-05,CHIAPAS,5.0,local
2020-04-06,CHIAPAS,1.0,local
2020-04-07,CHIAPAS,2.0,local
2020-04-08,CHIAPAS,4.0,local
2020-04-09,CHIAPAS,2.0,local
2020-04-10,CHIAPAS,5.0,local
2020-04-11,CHIAPAS,1.0,local
2020-04-12,CHIAPAS,4.0,local
2020-04-13,CHIAPAS,0.0,local
2020-04-14,CHIAPAS,2.0,local
2020-04-15,CHIAPAS,4.0,local
2020-04-16,CHIAPAS,6.0,local
2020-04-17,CHIAPAS,5.0,local
2020-04-18,CHIAPAS,4.0,local
2020-04-19,CHIAPAS,6.0,local
2020-04-20,CHIAPAS,1.0,local
2020-04-21,CHIAPAS,8.0,local
2020-04-22,CHIAPAS,8.0,local
2020-04-23,CHIAPAS,12.0,local
2020-04-24,CHIAPAS,5.0,local
2020-04-25,CHIAPAS,14.0,local
2020-04-26,CHIAPAS,4.0,local
2020-04-27,CHIAPAS,10.0,local
2020-04-28,CHIAPAS,9.0,local
2020-04-29,CHIAPAS,24.0,local
2020-04-30,CHIAPAS,12.0,local
2020-05-01,CHIAPAS,16.0,local
2020-05-02,CHIAPAS,23.0,local
2020-05-03,CHIAPAS,11.0,local
2020-05-04,CHIAPAS,4.0,local
2020-05-05,CHIAPAS,10.0,local
2020-05-06,CHIAPAS,22.0,local
2020-05-07,CHIAPAS,28.0,local
2020-05-08,CHIAPAS,39.0,local
2020-05-09,CHIAPAS,37.0,local
2020-05-10,CHIAPAS,27.0,local
2020-05-11,CHIAPAS,25.0,local
2020-05-12,CHIAPAS,14.0,local
2020-05-13,CHIAPAS,17.0,local
2020-05-14,CHIAPAS,52.0,local
2020-05-15,CHIAPAS,31.0,local
2020-05-16,CHIAPAS,67.0,local
2020-05-17,CHIAPAS,53.0,local
2020-05-18,CHIAPAS,35.0,local
2020-05-19,CHIAPAS,49.0,local
2020-05-20,CHIAPAS,71.0,local
2020-05-21,CHIAPAS,87.0,local
2020-05-22,CHIAPAS,76.0,local
2020-05-23,CHIAPAS,79.0,local
2020-05-24,CHIAPAS,114.0,local
2020-05-25,CHIAPAS,60.0,local
2020-05-26,CHIAPAS,65.0,local
2020-05-27,CHIAPAS,113.0,local
2020-05-28,CHIAPAS,69.0,local
2020-05-29,CHIAPAS,95.0,local
2020-05-30,CHIAPAS,145.0,local
2020-05-31,CHIAPAS,158.0,local
2020-06-01,CHIAPAS,59.0,local
2020-06-02,CHIAPAS,85.0,local
2020-06-03,CHIAPAS,26.0,local
2020-06-04,CHIAPAS,119.0,local
2020-06-05,CHIAPAS,125.0,local
2020-06-06,CHIAPAS,204.0,local
2020-06-07,CHIAPAS,123.0,local
2020-06-08,CHIAPAS,3.0,local
2020-06-09,CHIAPAS,166.0,local
2020-06-10,CHIAPAS,89.0,local
2020-06-11,CHIAPAS,91.0,local
2020-06-12,CHIAPAS,140.0,local
2020-06-13,CHIAPAS,44.0,local
2020-06-14,CHIAPAS,98.0,local
2020-06-15,CHIAPAS,68.0,local
2020-06-16,CHIAPAS,93.0,local
2020-06-17,CHIAPAS,45.0,local
2020-06-18,CHIAPAS,103.0,local
2020-06-19,CHIAPAS,67.0,local
2020-06-20,CHIAPAS,53.0,local
2020-06-21,CHIAPAS,108.0,local
2020-06-22,CHIAPAS,72.0,local
2020-06-23,CHIAPAS,74.0,local
2020-06-24,CHIAPAS,110.0,local
2020-06-25,CHIAPAS,112.0,local
2020-06-26,CHIAPAS,78.0,local
2020-04-01,CHIHUAHUA,-4213.0,local
